,trial_index,arm_name,trial_status,generation_method,mse,optimizer,learning_rate,batch_size,momentum,weight_decay,hidden_dimension,embedding_dimension,codebook_size,commitment_weight
85,85,85_0,COMPLETED,BoTorch,0.09488898321131992,adamax,0.008786581461695248,32,0.0,1e-06,16,16,64,9.725934834799954
86,86,86_0,COMPLETED,BoTorch,0.12739727826444966,adam,0.0013531821578122542,32,0.999,1e-06,16,16,256,8.216042104020966
87,87,87_0,COMPLETED,BoTorch,0.10489317589694527,adam,0.0003264436338900973,32,0.999,1e-06,256,16,64,7.223836339236901
88,88,88_0,COMPLETED,BoTorch,0.25077420805290246,adamax,0.007322230028494482,32,0.0,0.07405541027053622,32,16,64,10.0
89,89,89_0,COMPLETED,BoTorch,0.048035452083037916,adam,0.007243048330941033,32,0.0,0.004247159944525413,32,16,64,10.0
90,90,90_0,COMPLETED,BoTorch,0.15618486909926693,adam,0.1,64,0.999,0.00020484013875191265,32,256,64,4.338624379178716
91,91,91_0,COMPLETED,BoTorch,0.060307575591430546,adam,0.00711851564792055,32,0.7481984185696129,1e-06,128,16,64,7.265255241005144
92,92,92_0,COMPLETED,BoTorch,0.3368479982018471,adamax,0.1,256,0.999,1e-06,32,32,64,5.409434252237165
93,93,93_0,COMPLETED,BoTorch,0.06322702991811535,adam,0.021685841432640723,64,0.0,0.1,16,64,256,3.2987333480029
94,94,94_0,COMPLETED,BoTorch,0.11745248980160002,adam,0.0411080995512145,64,0.0,1e-06,16,16,1024,5.15801906226249
95,95,95_0,COMPLETED,BoTorch,0.11162178721397546,adam,0.005418980552226374,32,0.691757021341215,0.00011564217697504354,128,512,64,10.0
96,96,96_0,COMPLETED,BoTorch,0.21782325506210326,adam,0.1,128,0.10026379766284836,0.0017131249292373569,32,256,64,7.856513817735853
97,97,97_0,COMPLETED,BoTorch,0.07748105659892288,adam,0.1,64,0.999,0.1,16,128,64,3.94621585310475
98,98,98_0,COMPLETED,BoTorch,0.04985740669308954,adam,0.0111026601656466,32,0.0,0.0790481596494246,64,256,64,6.554664670158383
99,99,99_0,COMPLETED,BoTorch,0.05705967986849463,adam,0.01570592474659433,32,0.0,1e-06,32,64,64,8.404108249024876
